Counties,State,Oats,Soybeans,Wheat,Corn
Adair,Iowa,59252,3624899,,10814631
Clermont,Ohio,,2183103,47250,3127442
Clinton,Illinois,7762,3035724,2000172,3850537
Clinton,Indiana,,4940501,86683,16280516
Clinton,Missouri,,1332428,38709,2268812
Clinton,Ohio,33642,4864588,154392,11888292
Coles,Illinois,1076,4504060,76404,10374981
Cooper,Missouri,,1532673,1035932,2073324
Crawford,Illinois,,2332899,364351,3150606
Crawford,Missouri,,49770,8250,24530
Clay,Missouri,,729860,57359,997185
Crawford,Ohio,6236,4663579,858633,11810694
Dade,Missouri,,822598,1228242,988991
DeKalb,Indiana,7404,2507607,502577,4249282
Dearborn,Indiana,,236696,16546,591926
Decatur,Indiana,,3248851,211893,6603405
Defiance,Ohio,10630,3826434,729195,4387147
Delaware,Indiana,,3740389,95368,8392455
Dent,Missouri,,,,
DesMoines,Iowa,1450,2765964,23354,9249043
Dubois,Indiana,1202,1584343,284873,3924599
Cumberland,Illinois,,2383339,109895,2187911
Dunklin,Missouri,,2756568,1100502,3300507
Clay,Indiana,,2059245,55482,3859641
Clark,Indiana,,850666,167776,1291650
Benton,Missouri,,369659,215892,328804
Berrien,Michigan,7966,1687471,191880,6185013
Blackford,Indiana,,2392577,101263,3889154
Bollinger,Missouri,,667317,185640,525806
Boone,Indiana,,3925683,173626,10159851
Boone,Missouri,740,1170851,426816,1383082
Brown,Illinois,,957927,60324,2957894
Brown,Indiana,,40965,,85991
Brown,Ohio,,3613669,70596,2788493
Clark,Ohio,2226,2731329,148658,9417717
Butler,Missouri,,3612548,695000,3604861
Callaway,Missouri,,1361316,428384,1473428
Carroll,Missouri,4630,4084689,329085,7454019
Cass,Illinois,,1746126,60723,10120920
Cass,Indiana,3880,3165411,205443,11188561
Cass,Missouri,1640,1884199,448655,1944944
Champaign,Ohio,2508,2796044,273352,8948430
Chariton,Missouri,,3888777,449242,5209695
Christian,Missouri,,1528,25690,
Clark,Illinois,,3673253,210899,5605771
Calhoun,Illinois,,360560,50692,1843107
Dupage,Illinois,,,,
Edgar,Illinois,,5508885,101853,15193645
Edwards,Illinois,,1259492,324788,1434343
Hamilton,Illinois,,2344477,842032,2361879
Hamilton,Indiana,,2682721,122855,7387570
Hamilton,Ohio,,92130,3513,263368
Hancock,Illinois,,5902468,234259,19869026
Hancock,Indiana,1240,3052747,190432,6935630
Hardin,Illinois,,,,
Harrison,Indiana,,911701,110464,1559290
Harrison,Iowa,4691,3930496,,25167451
Henderson,Illinois,7064,2290048,73056,13117594
Grundy,Illinois,6620,3669145,35593,11077737
Hendricks,Indiana,,2459016,257633,6473822
Henry,Ohio,1926,5054439,1674316,8101206
Hickory,Missouri,1500,44574,91332,45078
Hocking,Ohio,,108635,7814,206661
Holt,Missouri,,3078622,27363,7808083
Howard,Indiana,,3670130,139208,9607110
Huntington,Indiana,,4059036,264612,8640889
Iron,Missouri,,,1197,
Iron,Wisconsin,,,,
Jackson,Missouri,,1064579,154299,1142524
Henry,Iowa,7562,3505221,,11762917
Greene,Ohio,2520,2368863,177889,7139233
Greene,Missouri,,72886,80823,85115
Greene,Indiana,,1901711,104331,3836695
Effingham,Illinois,5614,4008974,629978,3567582
Erie,Ohio,8890,1243439,442495,3793294
Fairfield,Ohio,26238,2657720,415281,6424902
Fayette,Illinois,2760,3426222,592163,3393927
Fayette,Indiana,,1078938,67956,2477545
Fayette,Ohio,2526,4129598,316841,9539248
Floyd,Indiana,,99451,14241,220545
Fountain,Indiana,,3043683,81460,10952370
Franklin,Illinois,,1842781,688930,1404297
Franklin,Indiana,270,1378073,92904,2841691
Franklin,Ohio,,974349,115766,1993909
Fremont,Iowa,,4556667,,15756386
Fulton,Illinois,6330,3994396,189973,15789335
Fulton,Indiana,,2723358,75296,11180778
Fulton,Ohio,,3623306,953566,8942007
Gallatin,Illinois,,2487326,450552,8012622
Gallia,Ohio,488,127522,1450,388017
Gasconade,Missouri,,287941,45288,254574
Gibson,Indiana,,3424225,2060639,9407551
Grant,Indiana,,4737783,182915,8382095
Grant,Minnesota,4584,4300167,961258,18562884
Benton,Indiana,,4540279,146000,16289238
Jackson,Ohio,1274,116673,11127,151805
Bates,Missouri,6936,2558474,1170422,3074089
Bartholomew,Indiana,,2500996,496830,6208834
Stoddard,Missouri,,5262615,1779022,12050883
Story,Iowa,8623,4938916,,24978255
Summit,Ohio,14628,72600,8820,199218
Sutter,California,,,733262,2254762
Swift,Minnesota,55795,4212445,367489,28022935
Tama,Iowa,31806,7327177,,28079377
Taney,Missouri,,,,
Taylor,Iowa,6350,3090223,24628,6438443
Taylor,Wisconsin,193173,733920,45243,3082585
Stephenson,Illinois,63024,3012256,217413,20264297
Tazewell,Illinois,13205,5359961,158290,21650072
Todd,Minnesota,410325,1580883,275042,9905166
Trempealeau,Wisconsin,98878,1216047,15705,10192359
Trumbull,Ohio,122149,1500256,101251,3425629
Tulare,California,93128,,3246350,3105707
Tuscarawas,Ohio,39601,573980,112822,1835407
Tuscola,Michigan,130284,3274888,2729804,13874115
Union,Iowa,29177,1805701,,4139482
VanBuren,Iowa,24789,1826581,43047,5026363
VanWert,Ohio,987,5936636,1110575,8855811
Texas,Missouri,,,10760,20498
Vermilion,Illinois,10320,8719495,199126,21889899
Steele,Minnesota,42532,3662087,23932,20635175
Stark,Ohio,126964,1267914,383080,3898790
Sawyer,Wisconsin,3976,106754,6265,786146
Schoolcraft,Michigan,16990,,,
Schuyler,Missouri,,668247,12600,503815
Scotland,Missouri,4130,1551988,88794,1990003
Scott,Iowa,11980,3704042,,17005085
Scott,Minnesota,66042,1645558,29024,7476829
Seneca,Ohio,61326,4873034,1072906,11597076
Shawano,Wisconsin,291420,1000132,240415,8051483
Sheboygan,Wisconsin,90392,1446764,990980,4968541
Stearns,Minnesota,1097814,4245428,350628,32318325
Shelby,Indiana,,3848156,162275,7339103
Shelby,Missouri,2000,3139442,389028,1965766
Shelby,Ohio,14418,3971891,752783,9371919
Sherburne,Minnesota,8706,752092,79017,4775248
Shiawassee,Michigan,36687,3377091,1826314,8058367
Sibley,Minnesota,68054,4325867,65693,28312427
Sioux,Iowa,27371,7610377,,31479639
Siskiyou,California,,,2143408,
Sonoma,California,25376,,,432
Stanislaus,California,457806,,345745,907307
Shelby,Iowa,25415,5453751,,26620148
Vernon,Missouri,7335,1502905,1234226,3247565
Vernon,Wisconsin,173087,1097776,57059,7480220
Wabasha,Minnesota,239512,1707822,5620,14193401
Williams,Ohio,34460,2800143,1031437,5147672
Winnebago,Illinois,43701,1548044,271347,8551452
Winnebago,Iowa,15637,3443638,38226,19772568
Winnebago,Wisconsin,44332,1274786,785368,3826034
Winneshiek,Iowa,227584,2987734,6851,21137630
Winona,Minnesota,211063,1384940,13124,13314955
Wood,Wisconsin,96016,776076,70648,3593317
Woodbury,Iowa,30793,5668874,,24180874
Woodford,Illinois,18810,5058700,126935,17902222
Will,Illinois,39009,4293657,442711,11738490
Worth,Iowa,24644,3791960,,16978056
Wright,Missouri,2232,,5921,6816
YellowMedicine,Minnesota,15765,5996722,244983,25010505
Yolo,California,72334,,2715803,2688902
Adams,Ohio,4374,836995,78505,1219889
Alexander,Illinois,,1108435,352193,1147934
Allen,Ohio,10463,4037189,517704,7763813
Ashland,Wisconsin,10920,29080,,137553
Atchison,Missouri,,4176942,,13811962
Athens,Ohio,,67834,,198065
Wright,Minnesota,209119,3671204,149971,13799479
Wilkin,Minnesota,15475,6294832,4827561,16897195
Whiteside,Illinois,38325,3361822,114301,38419195
Wexford,Michigan,22253,,11478,295555
Wadena,Minnesota,139745,397625,33043,1964635
Walworth,Wisconsin,11775,1308283,531624,8011896
Wapello,Iowa,13000,1967194,3531,5517794
Warren,Illinois,13744,6008305,18371,25225515
Warren,Iowa,18460,2660087,,7781765
Waseca,Minnesota,21990,3929852,8870,19510614
Washburn,Wisconsin,11316,157990,36103,1404415
Washington,Illinois,,3191913,4188473,2914588
Washington,Iowa,40748,4404599,14121,17432181
Washington,Minnesota,34410,556235,4925,3914610
Washington,Ohio,3639,350712,40677,1104153
Washington,Wisconsin,197366,772577,432823,2604277
Washtenaw,Michigan,18702,1195972,892972,3485635
Watonwan,Minnesota,13732,4178251,14334,20342813
Waukesha,Wisconsin,14471,847367,230640,2746450
Waupaca,Wisconsin,101221,778517,109956,5310837
Waushara,Wisconsin,33896,540336,95420,3363380
Wayne,Iowa,29880,2017450,,3100256
Wayne,Ohio,412186,2273748,451780,8037677
Webster,Iowa,10347,6093940,,33221339
Webster,Missouri,21278,24939,35501,25060
Barton,Missouri,3850,2123239,2564437,3404539
Sauk,Wisconsin,132423,1184161,301988,8055569
Jasper,Illinois,,3746061,349455,3055106
Jefferson,Illinois,1150,1995453,1099308,1601402
Union,Indiana,,1270811,29051,2894933
Union,Ohio,5600,5140603,517482,9968538
VanBuren,Michigan,3800,655591,54038,7603896
Vanderburgh,Indiana,,1032547,373188,2034920
Vermillion,Indiana,,1313670,42868,3964917
Vigo,Indiana,,1579833,75222,3308255
Vinton,Ohio,1200,32860,,159010
Wabash,Illinois,,1659214,313570,2215317
Wabash,Indiana,,3714577,259480,8521522
Union,Illinois,,1126542,130402,1175306
Warren,Indiana,,2853533,136426,9316591
Warren,Ohio,,1646431,145000,3236122
Warrick,Indiana,,1425700,238470,2300804
Washington,Indiana,660,1876201,79168,3902061
Washington,Missouri,,33730,,
Wayne,Illinois,,3870967,1122819,5107981
Wayne,Indiana,2300,2093611,123318,4443959
Wayne,Michigan,,125455,11261,253731
Wayne,Missouri,,32020,15161,46200
Wells,Indiana,,4968276,394579,10113196
Warren,Missouri,,951123,163088,1047026
White,Illinois,,4479063,1043362,8268859
Traverse,Minnesota,,6589458,747424,24873843
Tippecanoe,Indiana,9344,3744509,131769,11004957
SainteGenevieve,Missouri,,546842,207193,887880
Saline,Illinois,,1566484,181306,2176373
Saline,Missouri,300,5499049,259861,11701586
Sandusky,Ohio,14089,4150919,528797,9144275
Sangamon,Illinois,2857,6997367,73142,36678628
Schuyler,Illinois,,1651928,94110,4677405
Scioto,Ohio,,472193,36560,745592
Scott,Illinois,3600,2108335,175293,7046235
Scott,Indiana,,667474,,1857985
Tipton,Indiana,,3863775,81464,11036248
Scott,Missouri,,3385349,1989439,8849308
Spencer,Indiana,,2094917,194934,4328575
StJoseph,Indiana,,2125620,186557,10668630
Stark,Illinois,,3043514,22483,12501974
Starke,Indiana,,1001055,9442,6096610
Steuben,Indiana,4480,1061764,268824,3105834
Stevens,Minnesota,,4428469,663115,26930683
Sullivan,Indiana,,2234884,134024,4737867
Sullivan,Missouri,,780738,60302,810299
Switzerland,Indiana,,265662,9752,425742
Shelby,Illinois,12990,6435406,440345,12685216
White,Indiana,,3732544,144185,17286107
Whitley,Indiana,6670,2604705,383278,5211455
Williamson,Illinois,4049,708434,51600,642381
ContraCosta,California,,,664281,271181
Lake,California,,,231,
Oregon,Missouri,,,6410,
Placer,California,,,21850,
SanBernardino,California,,,4668,
Tuolumne,California,,,165,535
Crawford,Michigan,,,,2710
ElDorado,California,,,,648
Gogebic,Michigan,,,,4960
Pulaski,Missouri,,16010,,40314
Napa,California,,,,363
Orange,California,,,,10126
SantaClara,California,,,,150
Ventura,California,,,,
Roscommon,Michigan,,,,
Cuyahoga,Ohio,,,,
Douglas,Missouri,,,,
Ozark,Missouri,,,,
Vilas,Wisconsin,,,,
LosAngeles,California,,,,
Nevada,California,,,,272
Yuba,California,1125,,94603,
Stone,Missouri,,83460,,142496
Monterey,California,,,69696,
Wood,Ohio,23043,6259269,1508426,11869773
Worth,Missouri,,555269,5816,798568
Wright,Iowa,14546,5719781,,28861075
Wyandot,Ohio,2232,4386389,593568,10272083
Colusa,California,,,1080820,1173253
Glenn,California,78084,,382004,1570387
Howell,Missouri,,,8176,10527
Humboldt,California,,,,296
Lassen,California,,,62109,
Marin,California,,,99,
Modoc,California,,,981004,
Riverside,California,,,288435,910
Sacramento,California,,,246193,2416394
SanBenito,California,,,27744,216
SantaBarbara,California,18580,,,
