County,State,Temperature
Alameda,California,49.4
Alpine,California,35.6
Amador,California,47.4
Butte,California,47
Calaveras,California,47.4
Colusa,California,47.7
Contra Costa,California,49.3
Del Norte,California,42.3
El Dorado,California,44.2
Fresno,California,43.6
Glenn,California,46.8
Humboldt,California,43.4
Imperial,California,58.8
Inyo,California,45.5
Kern,California,48.9
Kings,California,48.3
Lake,California,46
Lassen,California,34
Los Angeles,California,53.6
Madera,California,44
Marin,California,50.4
Mariposa,California,44.8
Mendocino,California,45.2
Merced,California,48.8
Modoc,California,33.6
Mono,California,33.4
Monterey,California,50.1
Napa,California,48.1
Nevada,California,41.6
Orange,California,59.5
Placer,California,42.9
Plumas,California,35.4
Riverside,California,55.6
Sacramento,California,48.6
San Benito,California,49.3
San Bernardino,California,51.6
San Diego,California,55.3
San Francisco,California,51
San Joaquin,California,48.4
San Luis Obispo,California,50.2
San Mateo,California,50.6
Santa Barbara,California,52.5
Santa Clara,California,49.3
Santa Cruz,California,50.4
Shasta,California,41.7
Sierra,California,36.6
Siskiyou,California,36
Solano,California,48.7
Sonoma,California,48.7
Stanislaus,California,47.9
Sutter,California,48.5
Tehama,California,45.7
Trinity,California,38.9
Tulare,California,42.8
Tuolumne,California,40.8
Ventura,California,51.2
Yolo,California,48.6
Yuba,California,47.9
Adams,Illinois,32
Alexander,Illinois,40.1
Bond,Illinois,34.4
Boone,Illinois,26.1
Brown,Illinois,31.3
Bureau,Illinois,28.4
Calhoun,Illinois,34.3
Carroll,Illinois,25.8
Cass,Illinois,31.6
Champaign,Illinois,31.4
Christian,Illinois,32.9
Clark,Illinois,33.4
Clay,Illinois,35.3
Clinton,Illinois,35.3
Coles,Illinois,32.6
Cook,Illinois,29.8
Crawford,Illinois,34.4
Cumberland,Illinois,33.4
DeKalb,Illinois,27
De Witt,Illinois,31.4
Douglas,Illinois,32.4
DuPage,Illinois,28.6
Edgar,Illinois,32.4
Edwards,Illinois,36.7
Effingham,Illinois,34.3
Fayette,Illinois,34.4
Ford,Illinois,30.1
Franklin,Illinois,37.4
Fulton,Illinois,30.3
Gallatin,Illinois,38.3
Greene,Illinois,33.4
Grundy,Illinois,29.6
Hamilton,Illinois,37.2
Hancock,Illinois,31
Hardin,Illinois,38.7
Henderson,Illinois,29.8
Henry,Illinois,28.2
Iroquois,Illinois,30.2
Jackson,Illinois,37.3
Jasper,Illinois,34.6
Jefferson,Illinois,35.8
Jersey,Illinois,34.5
Jo Daviess,Illinois,24.9
Johnson,Illinois,38.5
Kane,Illinois,27.3
Kankakee,Illinois,29.8
Kendall,Illinois,28.8
Knox,Illinois,29.2
Lake,Illinois,28.3
LaSalle,Illinois,28.8
Lawrence,Illinois,35.5
Lee,Illinois,27.1
Livingston,Illinois,29.6
Logan,Illinois,32
McDonough,Illinois,30
McHenry,Illinois,26.6
McLean,Illinois,30.3
Macon,Illinois,32
Macoupin,Illinois,33.2
Madison,Illinois,35.6
Marion,Illinois,34.7
Marshall,Illinois,29.6
Mason,Illinois,31.5
Massac,Illinois,39.6
Menard,Illinois,32.2
Mercer,Illinois,28.5
Monroe,Illinois,37.6
Montgomery,Illinois,33.2
Morgan,Illinois,32.4
Moultrie,Illinois,32.4
Ogle,Illinois,26.4
Peoria,Illinois,30.5
Perry,Illinois,37
Piatt,Illinois,31.8
Pike,Illinois,33
Pope,Illinois,38.8
Pulaski,Illinois,39.8
Putnam,Illinois,29.5
Randolph,Illinois,36.8
Richland,Illinois,36
Rock Island,Illinois,28.2
St. Clair,Illinois,36.8
Saline,Illinois,38.5
Sangamon,Illinois,32.6
Schuyler,Illinois,30.5
Scott,Illinois,32.6
Shelby,Illinois,33.4
Stark,Illinois,29.2
Stephenson,Illinois,25.6
Tazewell,Illinois,30.8
Union,Illinois,38.1
Vermilion,Illinois,30.7
Wabash,Illinois,36.7
Warren,Illinois,28.9
Washington,Illinois,35.8
Wayne,Illinois,36.1
White,Illinois,37.4
Whiteside,Illinois,27.1
Will,Illinois,29.5
Williamson,Illinois,37.7
Winnebago,Illinois,26.1
Woodford,Illinois,29.7
Adams,Indiana,30.7
Allen,Indiana,29.9
Bartholomew,Indiana,34.7
Benton,Indiana,29.8
Blackford,Indiana,31
Boone,Indiana,30.8
Brown,Indiana,33.8
Carroll,Indiana,30.7
Cass,Indiana,30.4
Clark,Indiana,37.2
Clay,Indiana,33.5
Clinton,Indiana,30.6
Crawford,Indiana,37
Daviess,Indiana,34.9
Dearborn,Indiana,34.4
Decatur,Indiana,33.5
DeKalb,Indiana,29.3
Delaware,Indiana,31.1
Dubois,Indiana,36.2
Elkhart,Indiana,28.8
Fayette,Indiana,32.2
Floyd,Indiana,37.1
Fountain,Indiana,31
Franklin,Indiana,32.9
Fulton,Indiana,30
Gibson,Indiana,36.9
Grant,Indiana,30.7
Greene,Indiana,34.1
Hamilton,Indiana,31.6
Hancock,Indiana,32.5
Harrison,Indiana,37.3
Hendricks,Indiana,31.5
Henry,Indiana,31.5
Howard,Indiana,30.5
Huntington,Indiana,30.4
Jackson,Indiana,35.1
Jasper,Indiana,29.6
Jay,Indiana,30.8
Jefferson,Indiana,35.8
Jennings,Indiana,34.9
Johnson,Indiana,33
Knox,Indiana,35.3
Kosciusko,Indiana,29.4
LaGrange,Indiana,29.2
Lake,Indiana,29.7
LaPorte,Indiana,29
Lawrence,Indiana,34.8
Madison,Indiana,31.2
Marion,Indiana,32.1
Marshall,Indiana,29.3
Martin,Indiana,34.9
Miami,Indiana,30.5
Monroe,Indiana,33.4
Montgomery,Indiana,31.4
Morgan,Indiana,32.9
Newton,Indiana,29.7
Noble,Indiana,29.2
Ohio,Indiana,35.3
Orange,Indiana,35.9
Owen,Indiana,33.4
Parke,Indiana,32
Perry,Indiana,38.1
Pike,Indiana,36
Porter,Indiana,29.2
Posey,Indiana,37.5
Pulaski,Indiana,30
Putnam,Indiana,32.3
Randolph,Indiana,30.9
Ripley,Indiana,34
Rush,Indiana,32.7
St. Joseph,Indiana,28.9
Scott,Indiana,36
Shelby,Indiana,33.6
Spencer,Indiana,38.2
Starke,Indiana,29.4
Steuben,Indiana,29
Sullivan,Indiana,34.2
Switzerland,Indiana,35.7
Tippecanoe,Indiana,31
Tipton,Indiana,30.7
Union,Indiana,32.2
Vanderburgh,Indiana,37.4
Vermillion,Indiana,31.8
Vigo,Indiana,33.6
